ID,Province,Regency,District
1,ACEH,KABUPATEN SIMEULUE,TEUPAH SELATAN
2,ACEH,KABUPATEN SIMEULUE,SIMEULUE TIMUR
3,ACEH,KABUPATEN SIMEULUE,TEUPAH BARAT
4,ACEH,KABUPATEN SIMEULUE,TEUPAH TENGAH
5,ACEH,KABUPATEN SIMEULUE,SIMEULUE TENGAH
6,ACEH,KABUPATEN SIMEULUE,TELUK DALAM
7,ACEH,KABUPATEN SIMEULUE,SIMEULUE CUT
8,ACEH,KABUPATEN SIMEULUE,SALANG
9,ACEH,KABUPATEN SIMEULUE,SIMEULUE BARAT
10,ACEH,KABUPATEN SIMEULUE,ALAFAN
11,ACEH,KABUPATEN ACEH SINGKIL,PULAU BANYAK
12,ACEH,KABUPATEN ACEH SINGKIL,PULAU BANYAK BARAT
13,ACEH,KABUPATEN ACEH SINGKIL,SINGKIL
14,ACEH,KABUPATEN ACEH SINGKIL,SINGKIL UTARA
15,ACEH,KABUPATEN ACEH SINGKIL,KUALA BARU
16,ACEH,KABUPATEN ACEH SINGKIL,SIMPANG KANAN
17,ACEH,KABUPATEN ACEH SINGKIL,GUNUNG MERIAH
18,ACEH,KABUPATEN ACEH SINGKIL,DANAU PARIS
19,ACEH,KABUPATEN ACEH SINGKIL,SURO
20,ACEH,KABUPATEN ACEH SINGKIL,SINGKOHOR
21,ACEH,KABUPATEN ACEH SINGKIL,KOTA BAHARU
22,ACEH,KABUPATEN ACEH SELATAN,TRUMON
23,ACEH,KABUPATEN ACEH SELATAN,TRUMON TIMUR
24,ACEH,KABUPATEN ACEH SELATAN,TRUMON TENGAH
25,ACEH,KABUPATEN ACEH SELATAN,BAKONGAN
26,ACEH,KABUPATEN ACEH SELATAN,BAKONGAN TIMUR
27,ACEH,KABUPATEN ACEH SELATAN,KOTA BAHAGIA
28,ACEH,KABUPATEN ACEH SELATAN,KLUET SELATAN
29,ACEH,KABUPATEN ACEH SELATAN,KLUET TIMUR
30,ACEH,KABUPATEN ACEH SELATAN,KLUET UTARA
31,ACEH,KABUPATEN ACEH SELATAN,PASIE RAJA
32,ACEH,KABUPATEN ACEH SELATAN,KLUET TENGAH
33,ACEH,KABUPATEN ACEH SELATAN,TAPAK TUAN
34,ACEH,KABUPATEN ACEH SELATAN,SAMA DUA
